순번,용어,분야,영문,설명
383,EPA ,District Heating,Environmental Protection Agency,미국환경보호청
384,EPC,District Heating,Engineering Procurement Construction,"설계, 조달, 시공계획서"
385,Equip.,District Heating,Equipment,기기(機器)
386,ERD,District Heating,Entity Relationship Diagram,개체관계도
387,ERM,District Heating,Enterprise Risk Management,전사적 위험관리
388,ERP,District Heating,Enterprise Resource Planning,전사적 자원관리
389,ERV,District Heating,Electric Relief Valve ,전자식 안전밸브
390,ES,District Heating,Earthing Disconnecting Switch,접지스위치
391,ESCO,District Heating,Energy Service Company,에너지절약전문기업
392,ESP,District Heating,Engineering Specification Progress,기술규격 진행표
393,ESV,District Heating,Emergency Stop Valve,비상 증기차단변
394,ETS,District Heating,Emergency Trip System,비상정지장치
395,ETSV,District Heating,Emergency Trip Solenoid Valve,비상정지용 솔레노이드밸브
396,ETV,District Heating,Electrical Trip Valve,전기식 차단밸브
397,EV,District Heating,Earned Value(=BCWP),"기성고 (달성가치, 창출가치)"
398,EVA,District Heating,Early Valve Actuation,조기 밸브작동
399,EVA,District Heating,Economic Value Added,경제적부가가치
400,Evapo.,District Heating,Evaporator,보일러 증발관(증화기)
401,EWD,District Heating,Electrical Wiring Diagram,전기배선도
402,Exh.,District Heating,Exhaust ,배기(排氣)
403,Ext.,District Heating,Extraction,터빈추기
404,FA,District Heating,Full Arc(Admission),전주분사
405,FA,District Heating,Fly Ash,비회(飛灰)
406,FA,District Heating,Factory Automation,공장자동화
407,FAB.,District Heating,Fabrication,기자재제작(조립)
408,FC,District Heating,Fixed Carbon,고정탄소
409,FC,District Heating,Flow Controller,유량제어기
410,FC,District Heating,Frequency Controller,주파수제어기
411,FCB,District Heating,Field Circuit Breaker,계자차단기
412,FCF,District Heating,Free Cash Flow,순현금흐름
413,FCN,District Heating,Field Change Notice,현장설계변경 지시서
414,FCO,District Heating,FGD Control Operator,탈황설비 운전요원
415,FCR,District Heating,Field Change Request,현장설계변경 요청서
416,FCV,District Heating,Flow Control Valve,유량제어밸브
417,FD-DCN,District Heating,Field Drawing Design Change Notice,현장설계도면 변경통보서
418,FDA,District Heating,Final Design Approval,최종설계승인
419,FDF,District Heating,Forced Draft Fan,압입통풍기
420,FDN.,District Heating,Foundation,기초
421,FE,District Heating,Flow Element,유량측정소자
422,FF,District Heating,Feed Forward(Control),선행제어
423,FFO,District Heating,Funds From Operations,영업현금흐름
424,FFPC,District Heating,Firm Fixed Price Contract ,고정가격계약
425,FG,District Heating,Flow Gauge,유량계
426,FG,District Heating,Flue Gas,배기가스
427,FGD,District Heating,Flue Gas Desulfurization,배연탈황
428,FGO,District Heating,Financial Guarantee Obligation,의무담보금액
429,FI,District Heating,Flow Indicator,유량지시계
430,FL.,District Heating,Floor,층
431,FM,District Heating,Frequency Modulation,주파수변조
432,FM,District Heating,Frequency Meter,주파수계
433,FM,District Heating,Field Manual,교범. 매뉴얼
434,FMS,District Heating,Financial Management Solution,재무관리
435,FO,District Heating,Fuel Oil,주 연료
436,FOB,District Heating,Free On Board,본선인도조건 물품가격
437,FOIC,District Heating,Firm Price Incentive Contract,확정금액계약
438,FOR,District Heating,Forced Outage Rate,고장정지율
439,FR,District Heating,Fault Recorder,고장기록계
440,FS,District Heating,Flow Switch,유량스위치
441,F/S,District Heating,Feasibility Study,타당성조사
442,FSC,District Heating,Financial Supervisory Commission,금융감독위원회
443,FSNL,District Heating,Full Speed No Load,무부하 정격속도
444,FSPF,District Heating,First Stage Pressure Feedback,제1단 압력궤환
445,FSS,District Heating,Financial Supervisory Service,금융감독원
446,FSSS,District Heating,Furnace Safeguard Supervisory System,노 안전 감시장치
447,FT,District Heating,Flow Transmitter,유량전송기
448,FT,District Heating,Fluid Temperature,유동점(회융점)
